WBID,year,method,Angler_days
00577SANJ,2022,VILQ,1228
00577SANJ,1992,VILQ,769
00577SANJ,2006,VILQ,1193
00577SANJ,1989,VILQ,847
00577SANJ,2011,VILQ,581
00577SANJ,2017,VILQ,1570
00577SANJ,2002,VILQ,1000
00577SANJ,1986,VILQ,920
00361VICT,2006,VILQ,68
00361VICT,2017,VILQ,0
00361VICT,2011,VILQ,0
00361VICT,2022,VILQ,0
00352VICT,2006,VILQ,23
00352VICT,2011,VILQ,0
00352VICT,2022,VILQ,0
00352VICT,2017,VILQ,0
00560SANJ,1986,VILQ,5
00560SANJ,2011,VILQ,182
00560SANJ,1992,VILQ,25
00560SANJ,2022,VILQ,123
00560SANJ,1989,VILQ,0
00560SANJ,2002,VILQ,281
00560SANJ,2006,VILQ,273
00560SANJ,2017,VILQ,0
00346VICT,2011,VILQ,0
00346VICT,2017,VILQ,0
00346VICT,2022,VILQ,0
00334VICT,2006,VILQ,114
00334VICT,2011,VILQ,436
00334VICT,2017,VILQ,428
00334VICT,1992,VILQ,25
00334VICT,2022,VILQ,246
00334VICT,1989,VILQ,101
00334VICT,1986,VILQ,15
00334VICT,2002,VILQ,1219
00336VICT,2017,VILQ,892
00336VICT,2011,VILQ,980
00336VICT,1989,VILQ,2194
00336VICT,2002,VILQ,1010
00336VICT,1986,VILQ,1985
00336VICT,2022,VILQ,2005
00336VICT,2006,VILQ,1239
00336VICT,1992,VILQ,644
00324VICT,2011,VILQ,0
00324VICT,2002,VILQ,417
00324VICT,1986,VILQ,425
00324VICT,2022,VILQ,41
00324VICT,1992,VILQ,56
00324VICT,1989,VILQ,179
00324VICT,2017,VILQ,36
00324VICT,2006,VILQ,11
00526SANJ,2006,VILQ,11
00526SANJ,2022,VILQ,0
00526SANJ,2017,VILQ,0
00526SANJ,2011,VILQ,0
00330VICT,1986,VILQ,3675
00330VICT,2011,VILQ,11689
00330VICT,2022,VILQ,13382
00330VICT,1989,VILQ,7221
00330VICT,2017,VILQ,11629
00330VICT,1992,VILQ,5738
00330VICT,2002,VILQ,9688
00330VICT,2006,VILQ,7409
00322VICT,2022,VILQ,0
00322VICT,2006,VILQ,91
00322VICT,1989,VILQ,36
00322VICT,2011,VILQ,36
00322VICT,2017,VILQ,0
00322VICT,1986,VILQ,145
00322VICT,1992,VILQ,0
00322VICT,2002,VILQ,63
00313VICT,1986,VILQ,135
00313VICT,1992,VILQ,69
00313VICT,2011,VILQ,145
00313VICT,2006,VILQ,80
00313VICT,2017,VILQ,36
00313VICT,2002,VILQ,313
00313VICT,1989,VILQ,137
00313VICT,2022,VILQ,82
00315VICT,2011,VILQ,1452
00315VICT,2002,VILQ,2313
00315VICT,2017,VILQ,1784
00315VICT,2006,VILQ,3148
00315VICT,2022,VILQ,3151
00315VICT,1989,VILQ,4329
00315VICT,1986,VILQ,1020
00315VICT,1992,VILQ,4313
00304VICT,2017,VILQ,0
00304VICT,2022,VILQ,0
00304VICT,2011,VILQ,0
00449SANJ,1992,VILQ,0
00449SANJ,2011,VILQ,109
00449SANJ,2006,VILQ,45
00449SANJ,2022,VILQ,0
00449SANJ,2002,VILQ,63
00449SANJ,2017,VILQ,0
00449SANJ,1986,VILQ,25
00449SANJ,1989,VILQ,0
00276VICT,2022,VILQ,0
00276VICT,2017,VILQ,0
00276VICT,2002,VILQ,52
00276VICT,2011,VILQ,0
00276VICT,1986,VILQ,0
00276VICT,1992,VILQ,13
00276VICT,1989,VILQ,0
00294VICT,1989,VILQ,0
00294VICT,1992,VILQ,0
00294VICT,2022,VILQ,0
00294VICT,2011,VILQ,0
00294VICT,1986,VILQ,20
00294VICT,2002,VILQ,0
00294VICT,2017,VILQ,0
00306VICT,1989,VILQ,12
00306VICT,2017,VILQ,0
00306VICT,2011,VILQ,0
00306VICT,2022,VILQ,0
00306VICT,1986,VILQ,0
00306VICT,1992,VILQ,0
00306VICT,2002,VILQ,0
00293VICT,2022,VILQ,0
00293VICT,1986,VILQ,40
