WBID,bathymetry_url
00001BRID,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00232401.PDF
00001CHIL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00325501.PDF
00001LNRS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00296001.PDF
00001PARS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00019601.PDF
00001QUES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00213201.PDF
00001UNAR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00192601.PDF
00002BONP,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00058501.PDF
00002KETL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00278601.PDF
00002LARL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00042101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00132201.PDF
00002ULRD,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00304201.PDF
00002UPCE,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00179801.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00130701.PDF
00003BRKS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00020101.PDF
00003LARL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00042101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00163901.PDF
00003PARA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00030401.PDF
00003SAJR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00054001.PDF
00003STHM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00177601.PDF
00005LTRE,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00146701.PDF
00006CARR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00169101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00169102.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00169103.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00169104.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00169105.PDF
00006SMOK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00128301.PDF
00007PARK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00047701.PDF
00007USKE,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00133301.PDF
00008CHES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00041701.PDF
00008VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00208701.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00153101.PDF
00009CHES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00234701.PDF
00009COTR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00068701.PDF
00010PCEA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00349701.PDF
00010SMOK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00160701.PDF
00011TOOD,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00194601.PDF
00012HOMA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00313701.PDF
00012PCEA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00350101.PDF
00012SMOK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00230301.PDF
00013CHES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00059501.PDF
00013LSAL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00183001.PDF
00013MFRA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00188201.PDF
00013PARK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00139001.PDF
00014CARP,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00217801.PDF
00014EUCL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00209401.PDF
00014MORI,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00212001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00212002.PDF
00015VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00118301.PDF
00016BRID,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00182701.PDF
00016ELKR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00023501.PDF
00016OKAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00132901.PDF
00017CAMB,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00233701.PDF
00017CLRH,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00291901.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00291902.PDF
00017USKE,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00152601.PDF
00019MMUS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00127501.PDF
00019THOM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00216401.PDF
00020FRAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00119801.PDF
00020OKAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00151601.PDF
00022ALBN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00136901.PDF
00022CRYL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00180901.PDF
00022PARK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00168301.PDF
00022VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00142801.PDF
00023COWN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00112201.PDF
00023ELKR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00019001.PDF
